modelo,record,latidos,errores,n_N,n_S,n_V,n_F,Se_S,+P_S,Se_V,+P_V,Se_F,+P_F
v2_rr_normalizado,54,2361,5,2338,1,22,0,0.0,,0.9091,0.8696,,
v2_rr_normalizado,55,2164,1,2146,1,17,0,0.0,,1.0,0.9444,,
v2_rr_normalizado,56,1703,69,1670,26,7,0,0.0,0.0,1.0,0.1014,,
v2_rr_normalizado,57,2867,11,2840,3,21,3,0.3333,0.25,0.9048,0.8261,0.0,
v2_rr_normalizado,58,2323,2,2311,0,12,0,,0.0,1.0,1.0,,
v2_rr_normalizado,59,2146,37,2065,0,81,0,,0.0,0.5556,1.0,,
v2_rr_normalizado,60,2473,1,2473,0,0,0,,,,0.0,,
v2_rr_normalizado,61,1452,0,1451,1,0,0,1.0,1.0,,,,
v2_rr_normalizado,62,2267,483,1451,9,795,12,0.0,0.0,0.4189,1.0,0.0,0.0
v2_rr_normalizado,63,1992,44,1845,1,138,8,1.0,0.0909,0.7609,1.0,0.0,0.0
v2_rr_normalizado,64,1911,7,1885,0,23,3,,0.0,0.8261,1.0,0.0,
v2_rr_normalizado,65,2662,187,2271,5,382,4,0.4,0.0134,0.9293,0.9944,0.5,0.1111
v2_rr_normalizado,66,2338,31,2137,1,200,0,0.0,0.0,0.98,0.9949,,0.0
v2_rr_normalizado,67,2973,60,2436,5,531,1,0.0,0.0,0.9981,0.9981,0.0,0.0
v2_rr_normalizado,68,2642,39,2479,2,161,0,0.0,,1.0,0.805,,
v2_rr_normalizado,69,2167,3,1998,1,167,1,1.0,0.5,1.0,0.9882,0.0,
v2_rr_normalizado,70,1664,1,1538,126,0,0,0.9921,1.0,,0.0,,
v2_rr_normalizado,71,1668,63,1633,35,0,0,0.9714,0.3542,,,,
v2_rr_normalizado,72,2268,119,1874,8,386,0,0.125,0.1429,0.9819,0.7798,,0.0
v2_rr_normalizado,73,1990,48,1888,32,70,0,0.0312,1.0,1.0,0.5932,,
v2_rr_normalizado,74,2403,59,2081,0,274,48,,,0.9599,0.9634,0.0,
v2_rr_normalizado,75,2101,11,1482,0,612,7,,,0.9935,1.0,0.0,
cnn,1,2755,753,2411,0,344,0,,0.0,0.8953,0.639,,0.0
cnn,2,2672,489,2443,0,229,0,,0.0,0.6463,0.6463,,0.0
cnn,3,2450,1566,2323,2,125,0,0.0,0.0,0.016,0.0014,,0.0
